"fy_ef","org_id","org_name","voted_or_statutory","description","authorities","expenditures"
"FY 2020-21",306,"Social Sciences and Humanities Research Council","S","Spending of Revenues pursuant to subsection 4.2 of the Social Sciences and Humanities Research Council Act",76306.00,76306.00
"FY 2020-21",312,"Standards Council of Canada",1,"Payments to Crown Corps",18575862.00,18575862.00
"FY 2020-21",313,"Statistics Canada",1,"Operating/Program",588444759.00,537787444.00
"FY 2020-21",313,"Statistics Canada","S","Contributions to employee benefit plans",83522745.00,83522745.00
"FY 2020-21",313,"Statistics Canada","S","Spending of proceeds from the disposal of surplus Crown assets",8679.00,8679.00
"FY 2020-21",315,"Telefilm Canada",1,"Payments to Crown Corps",153754871.00,102307749.00
"FY 2020-21",315,"Telefilm Canada","S","Payments pursuant to the Public Health Events of National Concern Payments Act",30000492.00,30000492.00
"FY 2020-21",326,"Treasury Board Secretariat",1,"Operating/Program",321418288.00,304869575.00
"FY 2020-21",326,"Treasury Board Secretariat",10,"Treasury Board Central",10630836.00,0.00
"FY 2020-21",326,"Treasury Board Secretariat",15,"Treasury Board Central",0.00,0.00
"FY 2020-21",326,"Treasury Board Secretariat",20,"Treasury Board Central",3156130791.00,2889612806.00
"FY 2020-21",326,"Treasury Board Secretariat",25,"Treasury Board Central",8896620.00,0.00
"FY 2020-21",326,"Treasury Board Secretariat",30,"Treasury Board Central",376616754.00,0.00
"FY 2020-21",326,"Treasury Board Secretariat",35,"Treasury Board Central",45037387.00,0.00
"FY 2020-21",326,"Treasury Board Secretariat",5,"Treasury Board Central",608764637.00,0.00
"FY 2020-21",326,"Treasury Board Secretariat","S","Contributions to employee benefit plans",36292936.00,36292936.00
"FY 2020-21",326,"Treasury Board Secretariat","S","Employer contributions made under the Public Service Superannuation Act and other retirement acts and the Employment Insurance Act",-94302.00,-94302.00
"FY 2020-21",326,"Treasury Board Secretariat","S","Payments under the Public Service Pension Adjustment Act",7521.00,7521.00
"FY 2020-21",326,"Treasury Board Secretariat","S","Salary and Motor Car Allowance",91200.00,91200.00
"FY 2020-21",326,"Treasury Board Secretariat","S","Spending of proceeds from the disposal of surplus Crown assets",907.00,
"FY 2020-21",333,"Veterans Review and Appeal Board",1,"Operating/Program",10668899.00,9255187.00
"FY 2020-21",333,"Veterans Review and Appeal Board","S","Contributions to employee benefit plans",1250493.00,1250493.00
"FY 2020-21",334,"VIA Rail Canada Inc.",1,"Payments to Crown Corps",1016389568.00,651558580.00
"FY 2020-21",339,"Windsor-Detroit Bridge Authority",1,"Payments to Crown Corps",778634323.00,440674062.00
"FY 2020-21",345,"Secretariat of the National Security and Intelligence Committee of Parliamentarians",1,"Operating/Program",3500645.00,2249180.00
"FY 2020-21",345,"Secretariat of the National Security and Intelligence Committee of Parliamentarians","S","Contributions to employee benefit plans",182065.00,182065.00
"FY 2020-21",346,"Office of the Parliamentary Budget Officer",1,"Operating/Program",6520482.00,5476840.00
"FY 2020-21",346,"Office of the Parliamentary Budget Officer","S","Contributions to employee benefit plans",619259.00,619259.00
"FY 2020-21",347,"Invest in Canada Hub",1,"Operating/Program",36094386.00,29622107.00
"FY 2020-21",348,"Department of Indigenous Services",1,"Operating/Program",2373377194.00,2071838085.00
"FY 2020-21",348,"Department of Indigenous Services",10,"Grants & Contributions",13716793773.00,12503003011.00
"FY 2020-21",348,"Department of Indigenous Services",5,"Capital",25112860.00,6053885.00
"FY 2020-21",348,"Department of Indigenous Services","S","Climate Action Support",179694.00,179694.00
"FY 2020-21",348,"Department of Indigenous Services","S","Contributions related to the Canada Community-Building Fund (Keeping Canada's Economy and Jobs Growing Act)",29684113.00,29684113.00
"FY 2020-21",348,"Department of Indigenous Services","S","Contributions to employee benefit plans",88689395.00,88689395.00
"FY 2020-21",348,"Department of Indigenous Services","S","Court Awards",232829.00,232829.00
"FY 2020-21",348,"Department of Indigenous Services","S","Indian Annuities Treaty payments",282228.00,282228.00
"FY 2020-21",348,"Department of Indigenous Services","S","Payment from the Consolidated Revenue Fund of guaranteed loans issued out of the Indian economic development account (authorized limit $60,000,000). Change in Ministry responsibility (Indian Affairs and Northern Development)",32490796.00,
"FY 2020-21",348,"Department of Indigenous Services","S","Payments pursuant to the Public Health Events of National Concern Payments Act",1650656826.00,1650656826.00
"FY 2020-21",348,"Department of Indigenous Services","S","Salary and Motor Car Allowance",89200.00,89200.00
"FY 2020-21",348,"Department of Indigenous Services","S","Spending of proceeds from the disposal of surplus Crown assets",4007573.00,2536250.00
"FY 2020-21",350,"Leaders' Debates Commission",1,"Operating/Program",5373884.00,315520.00
"FY 2020-21",350,"Leaders' Debates Commission","S","Contributions to employee benefit plans",15228.00,15228.00
"FY 2020-21",539,"Administrative Tribunals Support Service of Canada",1,"Operating/Program",66602730.00,58202056.00
"FY 2020-21",539,"Administrative Tribunals Support Service of Canada","S","Contributions to employee benefit plans",9947533.00,9947533.00
"FY 2020-21",539,"Administrative Tribunals Support Service of Canada","S","Spending of proceeds from the disposal of surplus Crown assets",414.00,
"FY 2020-21",552,"Canadian High Arctic Research Station",1,"Operating/Program",30758027.00,21160655.00
"FY 2020-21",552,"Canadian High Arctic Research Station","S","Contributions to employee benefit plans",1113593.00,1113593.00
"FY 2020-21",552,"Canadian High Arctic Research Station","S","Refunds of amounts credited to revenues in previous years",1023.00,1023.00
"FY 2020-21",552,"Canadian High Arctic Research Station","S","Spending of revenue pursuant to section 6(2) of the Canadian High Arctic Research Station Act",293063.00,
"FY 2020-21",554,"Parliamentary Protective Service",1,"Operating/Program",83452443.00,66377420.00
"FY 2020-21",554,"Parliamentary Protective Service","S","Contributions to employee benefit plans",7409158.00,7409158.00
"FY 2020-21",558,"Canadian Accessibility Standards Development Organization",1,"Operating/Program",10989720.00,8867425.00
"FY 2020-21",558,"Canadian Accessibility Standards Development Organization",5,"Grants & Contributions",5500000.00,5237602.00
"FY 2020-21",558,"Canadian Accessibility Standards Development Organization","S","Contributions to employee benefit plans",499112.00,499112.00
"FY 2021-22",1,"Department of Agriculture and Agri-Food",1,"Operating/Program",655426566.00,629882264.00
"FY 2021-22",1,"Department of Agriculture and Agri-Food",10,"Grants & Contributions",751121738.00,681734044.00
"FY 2021-22",1,"Department of Agriculture and Agri-Food",5,"Capital",56290221.00,49361746.00
"FY 2021-22",1,"Department of Agriculture and Agri-Food","S","Canadian Pari-Mutuel Agency Revolving Fund",10307997.00,423721.00
"FY 2021-22",1,"Department of Agriculture and Agri-Food","S","Contribution payments for the AgriInsurance program",719839291.00,719839291.00
"FY 2021-22",1,"Department of Agriculture and Agri-Food","S","Contribution payments for the Agricultural Disaster Relief program and AgriRecovery",443726742.00,443726742.00
"FY 2021-22",1,"Department of Agriculture and Agri-Food","S","Contribution payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative",-5883.00,-5883.00
"FY 2021-22",1,"Department of Agriculture and Agri-Food","S","Contributions in support of the Assistance to the Pork Industry Initiative",-13040554.00,-13040554.00
"FY 2021-22",1,"Department of Agriculture and Agri-Food","S","Contributions to employee benefit plans",66003385.00,66003385.00
"FY 2021-22",1,"Department of Agriculture and Agri-Food","S","Grant and Contribution Payments for the AgriInvest Program",156426446.00,156426446.00
"FY 2021-22",1,"Department of Agriculture and Agri-Food","S","Grant and Contribution Payments for the AgriStability Program",231751590.00,231751590.00
"FY 2021-22",1,"Department of Agriculture and Agri-Food","S","Grant payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative",-9050.00,-9050.00
"FY 2021-22",1,"Department of Agriculture and Agri-Food","S","Grant payments for the Dairy Direct Payment Program (Farm Income Protection Act)",460265904.00,460265904.00
"FY 2021-22",1,"Department of Agriculture and Agri-Food","S","Grants in support of the Grain and Oilseed Payment program",-8720.00,-8720.00
"FY 2021-22",1,"Department of Agriculture and Agri-Food","S","Grants to agencies established under the Farm Products Agencies Act",600000.00,
"FY 2021-22",1,"Department of Agriculture and Agri-Food","S","Loan guarantees under the Canadian Agricultural Loans Act",113157.00,113157.00
"FY 2021-22",1,"Department of Agriculture and Agri-Food","S","Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)",30726946.00,30726946.00
"FY 2021-22",1,"Department of Agriculture and Agri-Food","S","Refunds of amounts credited to revenues in previous years",27312.00,27312.00
"FY 2021-22",1,"Department of Agriculture and Agri-Food","S","Salary and Motor Car Allowance",90700.00,90700.00
"FY 2021-22",1,"Department of Agriculture and Agri-Food","S","Spending of proceeds from the disposal of surplus Crown assets",9961852.00,4615444.00
"FY 2021-22",2,"House of Commons",1,"Operating/Program",401223604.00,363734409.00
"FY 2021-22",2,"House of Commons","S","Contributions to employee benefit plans",40719541.00,40719541.00
"FY 2021-22",2,"House of Commons","S","Members of the House of Commons - Salaries and allowances of Officers and Members of the House of Commons under the Parliament of Canada Act and contributions to the Members of Parliament Retiring Allowances Account and the Members of Parliament Retirement Compensation Arrangements Account",105640979.00,105640979.00
"FY 2021-22",12,"Atlantic Canada Opportunities Agency",1,"Operating/Program",76419187.00,70687244.00
"FY 2021-22",12,"Atlantic Canada Opportunities Agency",5,"Grants & Contributions",373936114.00,363964211.00
"FY 2021-22",12,"Atlantic Canada Opportunities Agency","S","Contributions to employee benefit plans",8838758.00,8838758.00
"FY 2021-22",12,"Atlantic Canada Opportunities Agency","S","Spending of proceeds from the disposal of surplus Crown assets",42130.00,
"FY 2021-22",14,"Atomic Energy of Canada Limited",1,"Payments to Crown Corps",1228304417.00,1008769322.00
"FY 2021-22",26,"Canada Border Services Agency",1,"Operating/Program",2368460499.00,2107469835.00
"FY 2021-22",26,"Canada Border Services Agency",5,"Capital",253190344.00,143527489.00
"FY 2021-22",26,"Canada Border Services Agency","S","Contributions to employee benefit plans",226975525.00,226975525.00
"FY 2021-22",26,"Canada Border Services Agency","S","Refunds of amounts credited to revenues in previous years",17995.00,17995.00
"FY 2021-22",26,"Canada Border Services Agency","S","Spending of proceeds from the disposal of surplus Crown assets",880878.00,727147.00
"FY 2021-22",29,"Canada Council for the Arts",1,"Payments to Crown Corps",510389080.00,510389080.00
"FY 2021-22",42,"Canada Mortgage and Housing Corporation",1,"Payments to Crown Corps",5144252458.00,4042530388.00
"FY 2021-22",44,"Canada Post Corporation",1,"Payments to Crown Corps",22210000.00,22210000.00
"FY 2021-22",46,"Canada Revenue Agency",1,"Operating/Program",4717149385.00,4038060959.00
"FY 2021-22",46,"Canada Revenue Agency",5,"Capital",113773937.00,70185516.00
"FY 2021-22",46,"Canada Revenue Agency","S","Children's special allowance payments",372417276.00,372417276.00
"FY 2021-22",46,"Canada Revenue Agency","S","Contributions to employee benefit plans",597673249.00,597673249.00
"FY 2021-22",46,"Canada Revenue Agency","S","Court Awards",8682.00,8682.00
"FY 2021-22",46,"Canada Revenue Agency","S","Court Awards",12222013.00,12222013.00
"FY 2021-22",46,"Canada Revenue Agency","S","Distribution of fuel charges (Canada Carbon Rebate) under section 165 of the Greenhouse Gas Pollution Pricing Act and section 122.8 of the Income Tax Act",3761940968.00,3761940968.00
"FY 2021-22",46,"Canada Revenue Agency","S","Distribution of fuel charges (to provinces and territories) under sections 165 of the Greenhouse Gas Pollution Pricing Act",52422245.00,52422245.00
"FY 2021-22",46,"Canada Revenue Agency","S","Losses on Foreign Exchange",4412.64,4412.64
"FY 2021-22",46,"Canada Revenue Agency","S","Refunds of amounts credited to revenues in previous years",1418.00,1418.00
"FY 2021-22",46,"Canada Revenue Agency","S","Salary and Motor Car Allowance",90700.00,90700.00
"FY 2021-22",46,"Canada Revenue Agency","S","Spending of proceeds from the disposal of surplus Crown assets",62658.00,62658.00
"FY 2021-22",46,"Canada Revenue Agency","S","Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act",584204517.00,584204517.00
"FY 2021-22",47,"Canada School of Public Service",1,"Operating/Program",66506242.00,64740705.00
"FY 2021-22",47,"Canada School of Public Service","S","Contributions to employee benefit plans",8978196.00,8978196.00
"FY 2021-22",47,"Canada School of Public Service","S","Spending of proceeds from the disposal of surplus Crown assets",4499.00,193.00
"FY 2021-22",47,"Canada School of Public Service","S","Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act",17966144.00,7617327.00
"FY 2021-22",51,"Canadian Air Transport Security Authority",1,"Payments to Crown Corps",859539905.00,686115078.00
"FY 2021-22",53,"Canadian Broadcasting Corporation",1,"Payments to Crown Corps",1139694241.00,1139694241.00
"FY 2021-22",53,"Canadian Broadcasting Corporation",10,"Payments to Crown Corps",106729000.00,106729000.00
"FY 2021-22",53,"Canadian Broadcasting Corporation",5,"Payments to Crown Corps",4000000.00,4000000.00
"FY 2021-22",55,"Canadian Centre for Occupational Health and Safety",1,"Operating/Program",6920961.00,6223821.00
"FY 2021-22",55,"Canadian Centre for Occupational Health and Safety","S","Contributions to employee benefit plans",1390491.00,1390491.00
"FY 2021-22",55,"Canadian Centre for Occupational Health and Safety","S","Spending of Revenues pursuant to Section 6(1)(g) of the Canadian Centre for Occupational Health and Safety Act",14841622.00,5478720.00
"FY 2021-22",61,"Canadian Dairy Commission",1,"Operating/Program",4291407.00,4291407.00
"FY 2021-22",63,"Impact Assessment Agency of Canada",1,"Operating/Program",54950999.00,48831292.00
"FY 2021-22",63,"Impact Assessment Agency of Canada",5,"Grants & Contributions",22022274.00,17015295.00
"FY 2021-22",63,"Impact Assessment Agency of Canada","S","Contributions to employee benefit plans",6154149.00,6154149.00
"FY 2021-22",65,"Canadian Food Inspection Agency",1,"Operating/Program",679697871.00,672493842.00
"FY 2021-22",65,"Canadian Food Inspection Agency",5,"Capital",33840336.00,23874546.00
"FY 2021-22",65,"Canadian Food Inspection Agency","S","Collection Agency Fees",22.00,22.00
"FY 2021-22",65,"Canadian Food Inspection Agency","S","Compensation payments in accordance with requirements established by Regulations under the Health of Animals Act and the Plant Protection Act, and authorized pursuant to the Canadian Food Inspection Agency Act",3816364.00,3816364.00
"FY 2021-22",65,"Canadian Food Inspection Agency","S","Contributions to employee benefit plans",79876542.00,79876542.00
"FY 2021-22",65,"Canadian Food Inspection Agency","S","Refunds of amounts credited to revenues in previous years",98763.00,98763.00
"FY 2021-22",65,"Canadian Food Inspection Agency","S","Spending of Revenues pursuant to Section 30 of the Canadian Food Inspection Agency Act",109159253.00,44186355.00
"FY 2021-22",65,"Canadian Food Inspection Agency","S","Spending of proceeds from the disposal of surplus Crown assets",131479.00,102400.00
"FY 2021-22",69,"Canadian Grain Commission",1,"Operating/Program",5821203.00,5775465.00
"FY 2021-22",69,"Canadian Grain Commission","S","Canadian Grain Commission Revolving Fund",155984204.00,9554400.00
"FY 2021-22",69,"Canadian Grain Commission","S","Contributions to employee benefit plans",664770.00,664770.00
"FY 2021-22",69,"Canadian Grain Commission","S","Spending of proceeds from the disposal of surplus Crown assets",51479.00,51479.00
"FY 2021-22",71,"Canadian Human Rights Commission",1,"Operating/Program",36398111.00,31955241.00
"FY 2021-22",71,"Canadian Human Rights Commission","S","Contributions to employee benefit plans",3831609.00,3831609.00
"FY 2021-22",74,"Canadian Institutes of Health Research",1,"Operating/Program",68220076.00,61439597.00
"FY 2021-22",74,"Canadian Institutes of Health Research",5,"Grants & Contributions",1317018166.00,1315234184.00
"FY 2021-22",74,"Canadian Institutes of Health Research","S","Contributions to employee benefit plans",7625483.00,7625483.00
"FY 2021-22",76,"Canadian Intergovernmental Conference Secretariat",1,"Operating/Program",5903542.00,4538500.00
"FY 2021-22",76,"Canadian Intergovernmental Conference Secretariat","S","Contributions to employee benefit plans",355275.00,355275.00
"FY 2021-22",81,"Canadian Museum for Human Rights",1,"Payments to Crown Corps",29336716.00,29336716.00
"FY 2021-22",82,"Canadian Museum of History",1,"Payments to Crown Corps",84700406.00,84700406.00
"FY 2021-22",84,"Canadian Museum of Immigration at Pier 21",1,"Payments to Crown Corps",9546694.00,9546694.00
"FY 2021-22",85,"Canadian Museum of Nature",1,"Payments to Crown Corps",35786569.00,35681183.00
"FY 2021-22",86,"Canadian Northern Economic Development Agency",1,"Operating/Program",21361404.00,20018430.00
"FY 2021-22",86,"Canadian Northern Economic Development Agency",5,"Grants & Contributions",68763033.00,66516573.00
"FY 2021-22",86,"Canadian Northern Economic Development Agency","S","Contributions to employee benefit plans",1836511.00,1836511.00
"FY 2021-22",86,"Canadian Northern Economic Development Agency","S","Spending of proceeds from the disposal of surplus Crown assets",15.00,
"FY 2021-22",87,"Canadian Nuclear Safety Commission",1,"Operating/Program",43438842.00,35111799.00
"FY 2021-22",87,"Canadian Nuclear Safety Commission","S","Contributions to employee benefit plans",13379324.00,13379324.00
"FY 2021-22",87,"Canadian Nuclear Safety Commission","S","Spending of proceeds from the disposal of surplus Crown assets",88167.00,68330.00
"FY 2021-22",87,"Canadian Nuclear Safety Commission","S","Spending of the revenues pursuant to section 21(3) of the Nuclear Safety and Control Act",99367108.00,94980845.00
"FY 2021-22",92,"Canadian Race Relations Foundation",1,"Payments to Crown Corps",6180001.00,6180001.00
"FY 2021-22",93,"Canadian Radio-television and Telecommunications Commission",1,"Operating/Program",13083159.00,6142914.00
"FY 2021-22",93,"Canadian Radio-television and Telecommunications Commission","S","Contributions to employee benefit plans",7836167.00,7836167.00
"FY 2021-22",94,"Canadian Security Intelligence Service",1,"Operating/Program",628726594.00,593505144.34
"FY 2021-22",94,"Canadian Security Intelligence Service","S","Contributions to employee benefit plans",48667683.00,48667683.00
"FY 2021-22",94,"Canadian Security Intelligence Service","S","Spending of proceeds from the disposal of surplus Crown assets",646105.00,
"FY 2021-22",95,"Canadian Space Agency",1,"Operating/Program",240107349.00,225675396.00
"FY 2021-22",95,"Canadian Space Agency",10,"Grants & Contributions",86889050.00,86833743.00
"FY 2021-22",95,"Canadian Space Agency",5,"Capital",153480882.00,44745858.00
"FY 2021-22",95,"Canadian Space Agency","S","Contributions to employee benefit plans",10851896.00,10851896.00
"FY 2021-22",95,"Canadian Space Agency","S","Spending of proceeds from the disposal of surplus Crown assets",64763.00,1256.00
"FY 2021-22",95,"Canadian Space Agency","S","Spending of revenues obtained pursuant to sub-section 5 (3) (h) of the Canadian Space Agency Act",156566.00,
"FY 2021-22",97,"Canadian Tourism Commission",1,"Payments to Crown Corps",121159703.00,121159703.00
"FY 2021-22",98,"Canadian Transportation Accident Investigation and Safety Board",1,"Operating/Program",33453338.00,32156495.00
"FY 2021-22",98,"Canadian Transportation Accident Investigation and Safety Board","S","Contributions to employee benefit plans",3740537.00,3740537.00
"FY 2021-22",98,"Canadian Transportation Accident Investigation and Safety Board","S","Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act",16020.00,16020.00
"FY 2021-22",98,"Canadian Transportation Accident Investigation and Safety Board","S","Spending of proceeds from the disposal of surplus Crown assets",28171.00,23865.00
"FY 2021-22",99,"Canadian Transportation Agency",1,"Operating/Program",41320362.00,38453775.00
"FY 2021-22",99,"Canadian Transportation Agency","S","Contributions to employee benefit plans",4434112.00,4434112.00
"FY 2021-22",110,"Communications Security Establishment",1,"Operating/Program",810226899.00,747691004.00
"FY 2021-22",110,"Communications Security Establishment","S","Contributions to employee benefit plans",53292334.00,53292334.00
"FY 2021-22",110,"Communications Security Establishment","S","Losses on Foreign Exchange",6953.00,6953.00
"FY 2021-22",110,"Communications Security Establishment","S","Refunds of amounts credited to revenues in previous years",415.00,415.00
"FY 2021-22",110,"Communications Security Establishment","S","Spending of proceeds from the disposal of surplus Crown assets",75725.00,
"FY 2021-22",114,"Copyright Board",1,"Operating/Program",4052152.00,3297681.00
"FY 2021-22",114,"Copyright Board","S","Contributions to employee benefit plans",352991.00,352991.00
"FY 2021-22",117,"Correctional Service of Canada",1,"Operating/Program",2759698376.00,2522384399.00
"FY 2021-22",117,"Correctional Service of Canada",5,"Capital",234453979.00,146976291.00
"FY 2021-22",117,"Correctional Service of Canada","S","CORCAN Revolving Fund",11966497.00,-1258221.00
"FY 2021-22",117,"Correctional Service of Canada","S","Contributions to employee benefit plans",241600477.00,241600477.00
"FY 2021-22",117,"Correctional Service of Canada","S","Refunds of amounts credited to revenues in previous years",847.00,847.00
"FY 2021-22",117,"Correctional Service of Canada","S","Spending of proceeds from the disposal of surplus Crown assets",1308896.00,219460.00
"FY 2021-22",118,"Courts Administration Service",1,"Operating/Program",102523995.00,91601562.00
"FY 2021-22",118,"Courts Administration Service","S","Contributions to employee benefit plans",8755694.00,8755694.00
"FY 2021-22",118,"Courts Administration Service","S","Refunds of amounts credited to revenues in previous years",5125.00,5125.00
"FY 2021-22",118,"Courts Administration Service","S","Spending of proceeds from the disposal of surplus Crown assets",10442.00,10135.00
"FY 2021-22",122,"Department of Canadian Heritage",1,"Operating/Program",254112592.00,235891268.00
"FY 2021-22",122,"Department of Canadian Heritage",5,"Grants & Contributions",1955437690.00,1741121909.00
"FY 2021-22",122,"Department of Canadian Heritage","S","Contributions to employee benefit plans",26503027.00,26503027.00
"FY 2021-22",122,"Department of Canadian Heritage","S","Payments under the Lieutenant Governors Superannuation Act",1010318.00,1010318.00
"FY 2021-22",122,"Department of Canadian Heritage","S","Salaries of the Lieutenant Governors",1616001.00,1616001.00
"FY 2021-22",122,"Department of Canadian Heritage","S","Salary and Motor Car Allowance",133423.00,133423.00
"FY 2021-22",122,"Department of Canadian Heritage","S","Spending of proceeds from the disposal of surplus Crown assets",58342.00,38359.00
"FY 2021-22",122,"Department of Canadian Heritage","S","Supplementary retirement benefits - Former Lieutenant Governors",219874.00,219874.00
"FY 2021-22",123,"Department of Citizenship and Immigration",1,"Operating/Program",1631197891.00,1289129883.00
"FY 2021-22",123,"Department of Citizenship and Immigration",10,"Grants & Contributions",1913205266.00,1771143168.00
"FY 2021-22",123,"Department of Citizenship and Immigration",15,"Debt Forgiveness",2766.00,2765.00
"FY 2021-22",123,"Department of Citizenship and Immigration",20,"Debt Forgiveness",172941.00,171538.00
"FY 2021-22",123,"Department of Citizenship and Immigration",5,"Capital",42474703.00,22662237.00
"FY 2021-22",123,"Department of Citizenship and Immigration","S","Contributions to employee benefit plans",100440720.00,100440720.00
"FY 2021-22",123,"Department of Citizenship and Immigration","S","Court Awards",65040.00,65040.00
"FY 2021-22",123,"Department of Citizenship and Immigration","S","Fees returned in connection with a terminated application",98530.00,98530.00
"FY 2021-22",123,"Department of Citizenship and Immigration","S","Fees returned in connection with a terminated application in Investor and Entrepreneur Classes",26630.00,26630.00
"FY 2021-22",123,"Department of Citizenship and Immigration","S","Passport Canada Revolving Fund (Revolving Funds Act)",864673826.00,251457202.00
"FY 2021-22",123,"Department of Citizenship and Immigration","S","Refunds of amounts credited to revenues in previous years",15956105.00,15956105.00
"FY 2021-22",123,"Department of Citizenship and Immigration","S","Salary and Motor Car Allowance",90700.00,90700.00
"FY 2021-22",123,"Department of Citizenship and Immigration","S","Spending of proceeds from the disposal of surplus Crown assets",32117.00,28762.00
"FY 2021-22",124,"Department of Finance",1,"Operating/Program",144830596.00,128778407.00
"FY 2021-22",124,"Department of Finance",5,"Other",1.00,0.00
"FY 2021-22",124,"Department of Finance","S","Additional Fiscal Equalization Offset Payment to Nova Scotia (Nova Scotia and Newfoundland and Labrador Additional Fiscal Equalization Offset Payments Act)",130063000.00,130063000.00
"FY 2021-22",124,"Department of Finance","S","Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act)",-5132774000.00,-5132774000.00
"FY 2021-22",124,"Department of Finance","S","Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act)",43132954822.00,43132954822.00
"FY 2021-22",124,"Department of Finance","S","Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act)",15473939000.00,15473939000.00
"FY 2021-22",124,"Department of Finance","S","Contributions to employee benefit plans",13310274.00,13310274.00
"FY 2021-22",124,"Department of Finance","S","Debt payments on behalf of poor countries to International Organizations pursuant to section 18(1) of the Economic Recovery Act",53132349.00,53132349.00
"FY 2021-22",124,"Department of Finance","S","Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act)",20910789000.00,20910789000.00
"FY 2021-22",124,"Department of Finance","S","Interest on Unmatured Debt",17865672922.00,17865672922.00
"FY 2021-22",124,"Department of Finance","S","Losses on Foreign Exchange",73855365.00,73855365.00
"FY 2021-22",124,"Department of Finance","S","Other Interest Costs",5122310988.00,5122310988.00
"FY 2021-22",124,"Department of Finance","S","Payment of liabilities previously recorded as revenue",10366758.00,10366758.00
"FY 2021-22",124,"Department of Finance","S","Payment to Newfoundland and Labrador related to the Hibernia Dividend Backed Annuity Agreement (Section 200 - Budget Implementation Act, 2021, No. 1)",100555856.00,100555856.00
"FY 2021-22",124,"Department of Finance","S","Payment to the Canada Infrastructure Bank",210950457.00,210950457.00
"FY 2021-22",124,"Department of Finance","S","Payment to the International Monetary Fund for the Poverty Reduction and Growth Trust (Bretton Woods and Related Agreements Act)",50000000.00,50000000.00
"FY 2021-22",124,"Department of Finance","S","Payments related to Canada health transfer",4000000000.00,4000000000.00
"FY 2021-22",124,"Department of Finance","S","Payments to International Development Association",423240000.00,423240000.00
"FY 2021-22",124,"Department of Finance","S","Payments to depositors of Canadian Commercial Bank, CCB Mortgage Investment Corporation and Northland Bank pursuant to the Financial Institutions Depositors Compensation Act",68571831.00,
"FY 2021-22",124,"Department of Finance","S","Payments to the provinces and territories in respect of Canada's COVID-19 immunization plan (Subsection 198(2) - Budget Implementation Act, 2021, No. 1)",1000000000.00,1000000000.00
"FY 2021-22",124,"Department of Finance","S","Purchase of Domestic Coinage",84598337.00,84598337.00
"FY 2021-22",124,"Department of Finance","S","Salary and Motor Car Allowance",91867.00,91867.00
"FY 2021-22",124,"Department of Finance","S","Spending of proceeds from the disposal of surplus Crown assets",18830.00,
"FY 2021-22",124,"Department of Finance","S","Statutory Subsidies (Constitution Acts, 1867-1982, and other statutory authorities)",42639342.00,42639342.00
"FY 2021-22",124,"Department of Finance","S","Statutory payments to the Canadian Commercial Corporation",13000000.00,13000000.00
"FY 2021-22",124,"Department of Finance","S","Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangements Act)",4379878578.00,4379878578.00
"FY 2021-22",124,"Department of Finance","S","Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",-1699300953.00,-1699300953.00
"FY 2021-22",125,"Department of Fisheries and Oceans",1,"Operating/Program",2165753946.00,2059763936.00
"FY 2021-22",125,"Department of Fisheries and Oceans",10,"Grants & Contributions",1280768687.00,681289122.00
"FY 2021-22",125,"Department of Fisheries and Oceans",5,"Capital",1467223481.00,835175814.00
"FY 2021-22",125,"Department of Fisheries and Oceans","S","Contributions to employee benefit plans",179026403.00,179026403.00
"FY 2021-22",125,"Department of Fisheries and Oceans","S","Refunds of amounts credited to revenues in previous years",2384500.00,2384500.00
"FY 2021-22",125,"Department of Fisheries and Oceans","S","Salary and Motor Car Allowance",80370.00,80370.00
"FY 2021-22",125,"Department of Fisheries and Oceans","S","Spending of proceeds from the disposal of surplus Crown assets",3465949.00,1147376.00
"FY 2021-22",126,"Department of Foreign Affairs, Trade and Development",1,"Operating/Program",2056429288.00,1867856410.00
"FY 2021-22",126,"Department of Foreign Affairs, Trade and Development",10,"Grants & Contributions",5796044808.00,5590387304.00
"FY 2021-22",126,"Department of Foreign Affairs, Trade and Development",15,"Operating/Program",85473000.00,80197216.00
"FY 2021-22",126,"Department of Foreign Affairs, Trade and Development",20,"Other",1.00,0.00
"FY 2021-22",126,"Department of Foreign Affairs, Trade and Development",5,"Capital",149848593.00,113303487.00
"FY 2021-22",126,"Department of Foreign Affairs, Trade and Development","S","Contributions to employee benefit plans",125639709.00,125639709.00
"FY 2021-22",126,"Department of Foreign Affairs, Trade and Development","S","Losses on Foreign Exchange",37427533.00,37427533.00
"FY 2021-22",126,"Department of Foreign Affairs, Trade and Development","S","Payments to International Financial Institutions - Direct payments",257017743.00,257017743.00
