fy_ef,org_id,org_name,voted_or_statutory,description,authorities,expenditures
FY 2022-23,129,Department of Crown-Indigenous Relations and Northern Affairs,1,Operating/Program,5124737923,1365907004
FY 2022-23,129,Department of Crown-Indigenous Relations and Northern Affairs,10,Grants & Contributions,8617520348,7108082582
FY 2022-23,129,Department of Crown-Indigenous Relations and Northern Affairs,5,Capital,4320332,3953067
FY 2022-23,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Contributions to employee benefit plans,28561534,28561534
FY 2022-23,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Court Awards,620559207,620559207
FY 2022-23,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Grants to Aboriginal organizations designated to receive claim settlement payments pursuant to Comprehensive Land Settlement Acts,5201030,5201030
FY 2022-23,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Grassy Narrows and Islington Bands Mercury Disability Board,,
FY 2022-23,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Payments to comprehensive claim beneficiaries in compensation for resource royalties,,
FY 2022-23,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Refunds of amounts credited to revenues in previous years,131815,131815
FY 2022-23,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Salary and Motor Car Allowance,184800,184800
FY 2022-23,130,Department of Industry,1,Operating/Program,659722916,624428938
FY 2022-23,130,Department of Industry,10,Grants & Contributions,4928632433,2846548325
FY 2022-23,130,Department of Industry,5,Capital,73834965,13586687
FY 2022-23,130,Department of Industry,S,Canadian Intellectual Property Office Revolving Fund,83452421,14540312
FY 2022-23,130,Department of Industry,S,Contributions to employee benefit plans,73805808,73805808
FY 2022-23,130,Department of Industry,S,Contributions to the Canadian Institute for Advanced Research - Pan Canadian Artificial Intelligence,9737869,9737869
FY 2022-23,130,Department of Industry,S,Liabilities under the Canada Small Business Financing Act,60369610,60369610
FY 2022-23,130,Department of Industry,S,Liabilities under the Small Business Loans Act,-1785,-1785
FY 2022-23,130,Department of Industry,S,Refunds of amounts credited to revenues in previous years,503617,503617
FY 2022-23,130,Department of Industry,S,Salary and Motor Car Allowance,94400,94400
FY 2022-23,130,Department of Industry,S,Spending of proceeds from the disposal of surplus Crown assets,146898,58141
FY 2022-23,132,Department of Justice,1,Operating/Program,310112534,288744938
FY 2022-23,132,Department of Justice,5,Grants & Contributions,609385003,602352133
FY 2022-23,132,Department of Justice,S,Contributions to employee benefit plans,92132138,92132138
FY 2022-23,132,Department of Justice,S,Salary and Motor Car Allowance,92400,92400
FY 2022-23,132,Department of Justice,S,Spending of proceeds from the disposal of surplus Crown assets,1888,963
FY 2022-23,133,Department of National Defence,1,Operating/Program,19020028275,18505782387
FY 2022-23,133,Department of National Defence,10,Grants & Contributions,1326255113,1324102829
FY 2022-23,133,Department of National Defence,15,Operating/Program,446727532,446691634
FY 2022-23,133,Department of National Defence,5,Capital,5944136090,4921497717
FY 2022-23,133,Department of National Defence,S,Contributions to employee benefit plans,318536613,318536613
FY 2022-23,133,Department of National Defence,S,Contributions to employee benefit plans (Members of the Military),1359980598,1359980598
FY 2022-23,133,Department of National Defence,S,Court Awards,40000000,40000000
FY 2022-23,133,Department of National Defence,S,Losses on Foreign Exchange,10702111,10702111
FY 2022-23,133,Department of National Defence,S,Payments under Parts I-IV of the Defence Services Pension Continuation Act,106879,106879
FY 2022-23,133,Department of National Defence,S,Payments under the Supplementary Retirement Benefits Act,540608,540608
FY 2022-23,133,Department of National Defence,S,Salary and Motor Car Allowance,92400,92400
FY 2022-23,133,Department of National Defence,S,Spending of proceeds from the disposal of surplus Crown assets,33926760,2126319
FY 2022-23,134,Department of Natural Resources,1,Operating/Program,829096379,784007337
FY 2022-23,134,Department of Natural Resources,10,Grants & Contributions,2504027905,1177199846
FY 2022-23,134,Department of Natural Resources,5,Capital,52321025,34104856
FY 2022-23,134,Department of Natural Resources,S,Contribution to the Canada/Newfoundland Offshore Petroleum Board,518512,518512
FY 2022-23,134,Department of Natural Resources,S,Contribution to the Canada/Nova Scotia Offshore Petroleum Board,1914209,1914209
FY 2022-23,134,Department of Natural Resources,S,Contributions to employee benefit plans,69002701,69002701
FY 2022-23,134,Department of Natural Resources,S,Geomatics Canada Revolving Fund,7605667,-1678544
FY 2022-23,134,Department of Natural Resources,S,Payments to the Newfoundland Offshore Petroleum Resource Revenue Fund,455191312,455191312
FY 2022-23,134,Department of Natural Resources,S,Payments to the Nova Scotia Offshore Revenue Account,19597921,19597921
FY 2022-23,134,Department of Natural Resources,S,Salary and Motor Car Allowance,92400,92400
FY 2022-23,134,Department of Natural Resources,S,Spending of proceeds from the disposal of surplus Crown assets,244319,176211
FY 2022-23,135,Department of Public Safety and Emergency Preparedness,1,Operating/Program,271293221,245135365
FY 2022-23,135,Department of Public Safety and Emergency Preparedness,5,Grants & Contributions,3174191538,3045103138
FY 2022-23,135,Department of Public Safety and Emergency Preparedness,S,Contributions to employee benefit plans,21242528,21242528
FY 2022-23,135,Department of Public Safety and Emergency Preparedness,S,Salary and Motor Car Allowance,92400,92400
FY 2022-23,135,Department of Public Safety and Emergency Preparedness,S,Spending of proceeds from the disposal of surplus Crown assets,10662,
FY 2022-23,136,Department of Public Works and Government Services,1,Operating/Program,3149379566,2852865460
FY 2022-23,136,Department of Public Works and Government Services,5,Capital,1610416555,1525205756
FY 2022-23,136,Department of Public Works and Government Services,S,Contributions to employee benefit plans,165196368,165196368
FY 2022-23,136,Department of Public Works and Government Services,S,Defence Production Revolving Fund,100000000,
FY 2022-23,136,Department of Public Works and Government Services,S,Losses on Foreign Exchange,298,298
FY 2022-23,136,Department of Public Works and Government Services,S,Optional Services Revolving Fund,16423979,-22178976
FY 2022-23,136,Department of Public Works and Government Services,S,Payment in lieu of taxes to municipalities and other taxing authorities,-54740089,-54740089
FY 2022-23,136,Department of Public Works and Government Services,S,Real Property Services Revolving Fund,251688925,-15221103
FY 2022-23,136,Department of Public Works and Government Services,S,Salary and Motor Car Allowance,92400,92400
FY 2022-23,136,Department of Public Works and Government Services,S,Spending of proceeds from the disposal of surplus Crown assets,802630,662558
FY 2022-23,136,Department of Public Works and Government Services,S,Translation Bureau Revolving Fund,29248529,-2091624
FY 2022-23,137,Department of the Environment,1,Operating/Program,1100990935,1084948723
FY 2022-23,137,Department of the Environment,10,Grants & Contributions,865561684,641102380
FY 2022-23,137,Department of the Environment,5,Capital,147051665,80092785
FY 2022-23,137,Department of the Environment,S,Contributions to employee benefit plans,110281836,110281836
FY 2022-23,137,Department of the Environment,S,Distribution of revenues from excess emissions charge payments under the Output-Based Pricing System pursuant to section 188 of the Greenhouse Gas Pollution Pricing Act,12050308,12050308
FY 2022-23,137,Department of the Environment,S,Salary and Motor Car Allowance,92400,92400
FY 2022-23,137,Department of the Environment,S,Spending of proceeds from the disposal of surplus Crown assets,2220368,1113586
FY 2022-23,138,Department of Transport,1,Operating/Program,909945990,857710962
FY 2022-23,138,Department of Transport,10,Grants & Contributions,2191707562,1062618063
FY 2022-23,138,Department of Transport,5,Capital,161694566,100986121
FY 2022-23,138,Department of Transport,S,Contributions to employee benefit plans,92507297,92507297
FY 2022-23,138,Department of Transport,S,Northumberland Strait Crossing Subsidy Payment under the Northumberland Strait Crossing Act,72865776,72865776
FY 2022-23,138,Department of Transport,S,Payments in respect of St. Lawrence Seaway agreements under the Canada Marine Act,73767597,73767597
FY 2022-23,138,Department of Transport,S,"Payments to the Canadian National Railway Company in respect of the termination of the collection of tolls on the Victoria Bridge, Montreal and for rehabilitation work on the portion of the bridge",3300000,3300000
FY 2022-23,138,Department of Transport,S,Salary and Motor Car Allowance,92400,92400
FY 2022-23,138,Department of Transport,S,Spending of proceeds from the disposal of surplus Crown assets,19618298,15802268
FY 2022-23,139,Department of Veterans Affairs,1,Operating/Program,1288335377,1202411160
FY 2022-23,139,Department of Veterans Affairs,5,Grants & Contributions,4363566997,4177856503
FY 2022-23,139,Department of Veterans Affairs,S,Contributions to employee benefit plans,41969089,41969089
FY 2022-23,139,Department of Veterans Affairs,S,Re-establishment credits under section 8 of the War Service Grants Act,,
FY 2022-23,139,Department of Veterans Affairs,S,Refunds of amounts credited to revenues in previous years,9,9
FY 2022-23,139,Department of Veterans Affairs,S,Repayments under section 15 of the War Service Grants Act of compensating adjustments made in accordance with the terms of the Veterans' Land Act,,
FY 2022-23,139,Department of Veterans Affairs,S,Returned Soldiers Insurance Actuarial Liability Adjustment,99,99
FY 2022-23,139,Department of Veterans Affairs,S,Salary and Motor Car Allowance,92400,92400
FY 2022-23,139,Department of Veterans Affairs,S,Spending of proceeds from the disposal of surplus Crown assets,15338,15338
FY 2022-23,139,Department of Veterans Affairs,S,Veterans Insurance Actuarial Liability Adjustment,,
FY 2022-23,140,Department of Western Economic Diversification,1,Operating/Program,51752430,47838162
FY 2022-23,140,Department of Western Economic Diversification,5,Grants & Contributions,529226790,446259521
FY 2022-23,140,Department of Western Economic Diversification,S,Contributions to employee benefit plans,5310159,5310159
FY 2022-23,140,Department of Western Economic Diversification,S,Spending of proceeds from the disposal of surplus Crown assets,180,180
FY 2022-23,141,Economic Development Agency of Canada for the Regions of Quebec,1,Operating/Program,48290045,46954999
FY 2022-23,141,Economic Development Agency of Canada for the Regions of Quebec,5,Grants & Contributions,661298224,491563144
FY 2022-23,141,Economic Development Agency of Canada for the Regions of Quebec,S,Contributions to employee benefit plans,5596577,5596577
FY 2022-23,141,Economic Development Agency of Canada for the Regions of Quebec,S,Spending of proceeds from the disposal of surplus Crown assets,39799,
FY 2022-23,146,Export Development Canada (Canada Account),S,Administrative fees,252879933,252879933
FY 2022-23,146,Export Development Canada (Canada Account),S,Forgiveness of non-budgetary loans pursuant to section 23(6) of the Export Development Act,1353550947,1353550947
FY 2022-23,148,The Federal Bridge Corporation Limited,1,Payments to Crown Corps,5303000,4423000
FY 2022-23,150,Federal Economic Development Agency for Southern Ontario,1,Operating/Program,44853081,41144584
FY 2022-23,150,Federal Economic Development Agency for Southern Ontario,5,Grants & Contributions,655183426,553086928
FY 2022-23,150,Federal Economic Development Agency for Southern Ontario,S,Contributions to employee benefit plans,4953184,4953184
FY 2022-23,150,Federal Economic Development Agency for Southern Ontario,S,Salary and Motor Car Allowance,2000,2000
FY 2022-23,150,Federal Economic Development Agency for Southern Ontario,S,Spending of proceeds from the disposal of surplus Crown assets,30961,
FY 2022-23,151,Financial Consumer Agency of Canada,S,Payments under section 13 of the Financial Consumer Agency of Canada Act,53951273,53951273
FY 2022-23,151,Financial Consumer Agency of Canada,S,Spending of proceeds from the disposal of surplus Crown assets,110,110
FY 2022-23,152,Financial Transactions and Reports Analysis Centre of Canada,1,Operating/Program,88082006,80513411
FY 2022-23,152,Financial Transactions and Reports Analysis Centre of Canada,S,Contributions to employee benefit plans,7639968,7639968
FY 2022-23,152,Financial Transactions and Reports Analysis Centre of Canada,S,Spending of proceeds from the disposal of surplus Crown assets,748,
FY 2022-23,157,Freshwater Fish Marketing Corporation,1,Payments to Crown Corps,1,0
FY 2022-23,174,Immigration and Refugee Board,1,Operating/Program,270961170,256536920
FY 2022-23,174,Immigration and Refugee Board,S,Contributions to employee benefit plans,28940257,28940257
FY 2022-23,174,Immigration and Refugee Board,S,Spending of proceeds from the disposal of surplus Crown assets,732,732
FY 2022-23,186,International Development Research Centre,1,Payments to Crown Corps,159036540,159036540
FY 2022-23,189,International Joint Commission (Canadian Section),1,Operating/Program,9782066,8322564
FY 2022-23,189,International Joint Commission (Canadian Section),S,Contributions to employee benefit plans,630634,630634
FY 2022-23,194,The Jacques-Cartier and Champlain Bridges Inc.,1,Payments to Crown Corps,280514520,205277430
FY 2022-23,198,Law Commission of Canada,1,Operating/Program,4370781,0
FY 2022-23,198,Law Commission of Canada,S,Contributions to employee benefit plans,,
FY 2022-23,199,Library and Archives of Canada,1,Operating/Program,132202363,126232442
FY 2022-23,199,Library and Archives of Canada,5,Capital,103464860,62418848
FY 2022-23,199,Library and Archives of Canada,S,Contributions to employee benefit plans,11833111,11833111
FY 2022-23,199,Library and Archives of Canada,S,Spending of proceeds from the disposal of surplus Crown assets,19087,16514
FY 2022-23,200,Library of Parliament,1,Operating/Program,49778944,46812940
FY 2022-23,200,Library of Parliament,S,Contributions to employee benefit plans,5540946,5540946
FY 2022-23,202,Marine Atlantic Inc.,1,Payments to Crown Corps,158520769,132120769
FY 2022-23,209,Military Grievances External Review Committee,1,Operating/Program,6883125,6321398
FY 2022-23,209,Military Grievances External Review Committee,S,"Canadian Regulatory Authority (Budget Implementation Act, 2009)",331,331
FY 2022-23,209,Military Grievances External Review Committee,S,Contributions to employee benefit plans,767471,767471
FY 2022-23,210,Military Police Complaints Commission,1,Operating/Program,4771411,4223825
FY 2022-23,210,Military Police Complaints Commission,S,Contributions to employee benefit plans,434668,434668
FY 2022-23,217,National Arts Centre Corporation,1,Payments to Crown Corps,66219277,66219277
FY 2022-23,218,The National Battlefields Commission,1,Operating/Program,13405437,10840251
FY 2022-23,218,The National Battlefields Commission,S,Contributions to employee benefit plans,624524,624524
FY 2022-23,218,The National Battlefields Commission,S,Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act,2395340,2395340
FY 2022-23,219,National Capital Commission,1,Payments to Crown Corps,82887383,82887383
FY 2022-23,219,National Capital Commission,5,Payments to Crown Corps,111341049,111341049
FY 2022-23,221,Canadian Energy Regulator,1,Operating/Program,106528575,100803350
FY 2022-23,221,Canadian Energy Regulator,S,Contributions to employee benefit plans,11613625,11613625
FY 2022-23,221,Canadian Energy Regulator,S,Spending of proceeds from the disposal of surplus Crown assets,199,
FY 2022-23,223,National Film Board,1,Operating/Program,75400266,72441400
FY 2022-23,223,National Film Board,S,National Film Board Revolving Fund,12886490,6470
FY 2022-23,224,National Gallery of Canada,1,Payments to Crown Corps,42373308,42373308
FY 2022-23,224,National Gallery of Canada,5,Payments to Crown Corps,8000000,8000000
FY 2022-23,226,National Museum of Science and Technology,1,Payments to Crown Corps,39736712,39736712
FY 2022-23,227,Parole Board of Canada,1,Operating/Program,67478572,61362981
FY 2022-23,227,Parole Board of Canada,S,Contributions to employee benefit plans,7384514,7384514
FY 2022-23,227,Parole Board of Canada,S,Court Awards,4260,4260
FY 2022-23,227,Parole Board of Canada,S,Refunds of amounts credited to revenues in previous years,658,658
FY 2022-23,227,Parole Board of Canada,S,Spending of proceeds from the disposal of surplus Crown assets,63551,24065
FY 2022-23,228,National Research Council of Canada,1,Operating/Program,571009546,560673079
FY 2022-23,228,National Research Council of Canada,10,Grants & Contributions,680914885,612326230
FY 2022-23,228,National Research Council of Canada,5,Capital,105048740,92886033
FY 2022-23,228,National Research Council of Canada,S,Contributions to employee benefit plans,68705822,68705822
FY 2022-23,228,National Research Council of Canada,S,Spending of proceeds from the disposal of surplus Crown assets,581423,300000
FY 2022-23,228,National Research Council of Canada,S,Spending of revenues pursuant to paragraph 5(1)(e) of the National Research Council Act,302562592,135865814
FY 2022-23,230,Natural Sciences and Engineering Research Council,1,Operating/Program,62054939,58643444
FY 2022-23,230,Natural Sciences and Engineering Research Council,5,Grants & Contributions,1318123827,1315533566
FY 2022-23,230,Natural Sciences and Engineering Research Council,S,Contributions to employee benefit plans,7351624,7351624
FY 2022-23,230,Natural Sciences and Engineering Research Council,S,Spending of Revenues pursuant to subsection 4.2 of the Natural Sciences and Engineering Research Council Act,,
FY 2022-23,230,Natural Sciences and Engineering Research Council,S,Spending of proceeds from the disposal of surplus Crown assets,4969,
FY 2022-23,235,Northern Pipeline Agency,1,Operating/Program,540000,292788
FY 2022-23,235,Northern Pipeline Agency,S,Contributions to employee benefit plans,6310,6310
FY 2022-23,237,"Department of Housing, Infrastructure and Communities",1,Operating/Program,259072496,248856189
FY 2022-23,237,"Department of Housing, Infrastructure and Communities",10,Grants & Contributions,6813265885,4280895492
FY 2022-23,237,"Department of Housing, Infrastructure and Communities",5,Capital,21712797,11685564
FY 2022-23,237,"Department of Housing, Infrastructure and Communities",S,Contributions related to the Canada Community-Building Fund (Keeping Canada's Economy and Jobs Growing Act),2268966610,2268966610
FY 2022-23,237,"Department of Housing, Infrastructure and Communities",S,Contributions to employee benefit plans,18370362,18370362
FY 2022-23,237,"Department of Housing, Infrastructure and Communities",S,Salary and Motor Car Allowance,184800,184800
FY 2022-23,238,Office of the Auditor General,1,Operating/Program,122597182,114899556
FY 2022-23,238,Office of the Auditor General,S,Contributions to employee benefit plans,12955560,12955560
FY 2022-23,238,Office of the Auditor General,S,Spending of proceeds from the disposal of surplus Crown assets,3283,613
FY 2022-23,239,Office of the Chief Electoral Officer,1,Operating/Program,53355852,52199617
FY 2022-23,239,Office of the Chief Electoral Officer,S,Collection Agency Fees,105,105
FY 2022-23,239,Office of the Chief Electoral Officer,S,Contributions to employee benefit plans,13352508,13352508
FY 2022-23,239,Office of the Chief Electoral Officer,S,Electoral expenditures,137827272,137827272
FY 2022-23,239,Office of the Chief Electoral Officer,S,Expenses under Electoral Boundary Readjustment Act,9378025,9378025
FY 2022-23,239,Office of the Chief Electoral Officer,S,Salary of the Chief Electoral Officer,372371,372371
FY 2022-23,239,Office of the Chief Electoral Officer,S,Spending of proceeds from the disposal of surplus Crown assets,3476,3476
FY 2022-23,240,Office of the Commissioner for Federal Judicial Affairs,1,Operating/Program,12132139,11990191
FY 2022-23,240,Office of the Commissioner for Federal Judicial Affairs,5,Operating/Program,4814441,1950162
FY 2022-23,240,Office of the Commissioner for Federal Judicial Affairs,S,Contributions to employee benefit plans,925768,925768
FY 2022-23,240,Office of the Commissioner for Federal Judicial Affairs,S,"Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office",697295631,697295631
FY 2022-23,241,Office of the Commissioner of Lobbying,1,Operating/Program,5285964,4773372
FY 2022-23,241,Office of the Commissioner of Lobbying,S,Contributions to employee benefit plans,446410,446410
FY 2022-23,242,Office of the Commissioner of Official Languages,1,Operating/Program,21081130,19999668
FY 2022-23,242,Office of the Commissioner of Official Languages,S,Contributions to employee benefit plans,2433254,2433254
FY 2022-23,242,Office of the Commissioner of Official Languages,S,Spending of proceeds from the disposal of surplus Crown assets,752,
FY 2022-23,244,Office of the Intelligence Commissioner,1,Operating/Program,2544555,2310876
FY 2022-23,244,Office of the Intelligence Commissioner,S,Contributions to employee benefit plans,173962,173962
FY 2022-23,245,Office of the Conflict of Interest and Ethics Commissioner,1,Operating/Program,7276995,6768932
FY 2022-23,245,Office of the Conflict of Interest and Ethics Commissioner,S,Contributions to employee benefit plans,811598,811598
FY 2022-23,246,Department for Women and Gender Equality,1,Operating/Program,60370960,57362612
FY 2022-23,246,Department for Women and Gender Equality,5,Grants & Contributions,260087038,259383052
FY 2022-23,246,Department for Women and Gender Equality,S,Contributions to employee benefit plans,6269956,6269956
FY 2022-23,246,Department for Women and Gender Equality,S,Salary and Motor Car Allowance,92400,92400
FY 2022-23,246,Department for Women and Gender Equality,S,Spending of proceeds from the disposal of surplus Crown assets,886,797
FY 2022-23,247,Office of the Correctional Investigator of Canada,1,Operating/Program,5425478,5188105
FY 2022-23,247,Office of the Correctional Investigator of Canada,S,Contributions to employee benefit plans,573609,573609
FY 2022-23,248,Office of the Director of Public Prosecutions,1,Operating/Program,209240605,188888572
FY 2022-23,248,Office of the Director of Public Prosecutions,S,Contributions to employee benefit plans,19837988,19837988
FY 2022-23,248,Office of the Director of Public Prosecutions,S,Spending of proceeds from the disposal of surplus Crown assets,10948,
FY 2022-23,249,Office of the Governor General's Secretary,1,Operating/Program,22356923,21519650
FY 2022-23,249,Office of the Governor General's Secretary,S,Annuities payable under the Governor General's Act,956251,956251
FY 2022-23,249,Office of the Governor General's Secretary,S,Contributions to employee benefit plans,2384029,2384029
FY 2022-23,249,Office of the Governor General's Secretary,S,Salary of the Governor General,344475,344475
FY 2022-23,249,Office of the Governor General's Secretary,S,Spending of proceeds from the disposal of surplus Crown assets,35605,35605
FY 2022-23,250,Office of the Public Sector Integrity Commissioner,1,Operating/Program,5556784,5249170
FY 2022-23,250,Office of the Public Sector Integrity Commissioner,S,Contributions to employee benefit plans,545029,545029
FY 2022-23,251,Office of the Senate Ethics Officer,1,Operating/Program,1278498,868183
FY 2022-23,251,Office of the Senate Ethics Officer,S,Contributions to employee benefit plans,97561,97561
FY 2022-23,253,Office of the Superintendent of Financial Institutions,1,Operating/Program,1244352,1244352
FY 2022-23,253,Office of the Superintendent of Financial Institutions,S,Spending of proceeds from the disposal of surplus Crown assets,2860,2860
FY 2022-23,253,Office of the Superintendent of Financial Institutions,S,Spending of revenues pursuant to subsection 17(2) of the Office of the Superintendent of Financial Institutions Act,312964989,238498928
FY 2022-23,256,Offices of the Information and Privacy Commissioners of Canada,1,Operating/Program,15317856,14673725
FY 2022-23,256,Offices of the Information and Privacy Commissioners of Canada,5,Operating/Program,28471898,27543531
FY 2022-23,256,Offices of the Information and Privacy Commissioners of Canada,S,Contributions to employee benefit plans,5127958,5127958
FY 2022-23,256,Offices of the Information and Privacy Commissioners of Canada,S,Spending of proceeds from the disposal of surplus Crown assets,2463,479
FY 2022-23,263,Parks Canada Agency,1,Operating/Program,693133275,615120488
FY 2022-23,263,Parks Canada Agency,10,Other,55336398,55336398
FY 2022-23,263,Parks Canada Agency,5,Capital,255041405,206383836
FY 2022-23,263,Parks Canada Agency,S,Contributions to employee benefit plans,69315465,69315465
FY 2022-23,263,Parks Canada Agency,S,Expenditures equivalent to revenues resulting from the conduct of operations pursuant to section 20 of the Parks Canada Agency Act,305209823,210452854
FY 2022-23,266,Patented Medicine Prices Review Board,1,Operating/Program,16489500,10808957
FY 2022-23,266,Patented Medicine Prices Review Board,S,Contributions to employee benefit plans,1185071,1185071
FY 2022-23,266,Patented Medicine Prices Review Board,S,Court Awards,27500,27500
FY 2022-23,266,Patented Medicine Prices Review Board,S,Spending of proceeds from the disposal of surplus Crown assets,231,
FY 2022-23,278,Privy Council Office,1,Operating/Program,227866449,221231924
FY 2022-23,278,Privy Council Office,S,Contributions to employee benefit plans,21328932,21328932
FY 2022-23,278,Privy Council Office,S,Salary and Motor Car Allowance,376300,376300
FY 2022-23,278,Privy Council Office,S,Spending of proceeds from the disposal of surplus Crown assets,14360,
FY 2022-23,280,Public Health Agency of Canada,1,Operating/Program,10989364603,5040889896
FY 2022-23,280,Public Health Agency of Canada,10,Grants & Contributions,685432861,499331449
FY 2022-23,280,Public Health Agency of Canada,5,Capital,59707181,28653428
FY 2022-23,280,Public Health Agency of Canada,S,Contributions to employee benefit plans,60656568,60656568
FY 2022-23,280,Public Health Agency of Canada,S,"Payments in connection with Economic and Fiscal Update Implementation Act, 2021",145976410,145976410
FY 2022-23,280,Public Health Agency of Canada,S,Spending of proceeds from the disposal of surplus Crown assets,897841,
FY 2022-23,280,Public Health Agency of Canada,S,"Spending of revenues from other departments for which the Minister is responsible, pursuant to subsection 4.2(4) of the Department of Health Act",10269965,10269965
FY 2022-23,282,Public Service Commission,1,Operating/Program,88961751,86982144
FY 2022-23,282,Public Service Commission,S,Contributions to employee benefit plans,11885580,11885580
FY 2022-23,282,Public Service Commission,S,Refunds of amounts credited to revenues in previous years,6324,6324
FY 2022-23,282,Public Service Commission,S,Spending of proceeds from the disposal of surplus Crown assets,141,141
FY 2022-23,288,Registrar of the Supreme Court of Canada,1,Operating/Program,32490852,30937835
FY 2022-23,288,Registrar of the Supreme Court of Canada,S,Contributions to employee benefit plans,3199171,3199171
FY 2022-23,288,Registrar of the Supreme Court of Canada,S,"Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office",9416346,9416346
FY 2022-23,288,Registrar of the Supreme Court of Canada,S,Refunds of amounts credited to revenues in previous years,350,350
FY 2022-23,288,Registrar of the Supreme Court of Canada,S,Spending of proceeds from the disposal of surplus Crown assets,22102,30
FY 2022-23,295,Royal Canadian Mounted Police,1,Operating/Program,3441884906,3267126325
FY 2022-23,295,Royal Canadian Mounted Police,10,Grants & Contributions,668925484,527235621
FY 2022-23,295,Royal Canadian Mounted Police,5,Capital,384491545,288234933
FY 2022-23,295,Royal Canadian Mounted Police,S,Contributions to employee benefit plans,106513206,106513206
FY 2022-23,295,Royal Canadian Mounted Police,S,Pensions and other employee benefits - Members of the Force,1614560617,1614560617
FY 2022-23,295,Royal Canadian Mounted Police,S,Pensions under the Royal Canadian Mounted Police Pension Continuation Act,3511604,3511604
FY 2022-23,295,Royal Canadian Mounted Police,S,Refunds of amounts credited to revenues in previous years,26357,26357
FY 2022-23,295,Royal Canadian Mounted Police,S,Spending of proceeds from the disposal of surplus Crown assets,626307,230418
FY 2022-23,296,Royal Canadian Mounted Police External Review Committee,1,Operating/Program,5852431,4398975
FY 2022-23,296,Royal Canadian Mounted Police External Review Committee,S,Contributions to employee benefit plans,478645,478645
FY 2022-23,297,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,1,Operating/Program,11782608,11192826
FY 2022-23,297,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,S,Contributions to employee benefit plans,1286835,1286835
FY 2022-23,302,National Security and Intelligence Review Agency Secretariat,1,Operating/Program,28074112,16988981
FY 2022-23,302,National Security and Intelligence Review Agency Secretariat,S,Contributions to employee benefit plans,1300166,1300166
FY 2022-23,303,Senate,1,Operating/Program,84536860,70871493
FY 2022-23,303,Senate,S,Contributions to employee benefit plans,8623147,8623147
FY 2022-23,303,Senate,S,"Officers and Members of the Senate - Salaries, allowances and other payments to the Speaker of the Senate, Members and other officers of the Senate under the Parliament of Canada Act; contributions to the Members of Parliament Retiring Allowances Account and Members of Parliament Retirement Compensation Arrangements Account",25405460,25405460
FY 2022-23,305,Shared Services Canada,1,Operating/Program,2409243148,2166826879
FY 2022-23,305,Shared Services Canada,5,Capital,353728527,244316917
FY 2022-23,305,Shared Services Canada,S,Contributions to employee benefit plans,122503296,122503296
FY 2022-23,305,Shared Services Canada,S,Pensions and other employee benefits - Members of Royal Canadian Mounted Police,4400935,4400935
FY 2022-23,305,Shared Services Canada,S,Spending of proceeds from the disposal of surplus Crown assets,52866,52866
FY 2022-23,306,Social Sciences and Humanities Research Council,1,Operating/Program,45101905,42934952
FY 2022-23,306,Social Sciences and Humanities Research Council,5,Grants & Contributions,1068572730,1014866402
FY 2022-23,306,Social Sciences and Humanities Research Council,S,Contributions to employee benefit plans,4793654,4793654
FY 2022-23,306,Social Sciences and Humanities Research Council,S,Spending of Revenues pursuant to subsection 4.2 of the Social Sciences and Humanities Research Council Act,106269,106269
FY 2022-23,312,Standards Council of Canada,1,Payments to Crown Corps,17967928,17967928
FY 2022-23,313,Statistics Canada,1,Operating/Program,609040807,585663752
FY 2022-23,313,Statistics Canada,S,Contributions to employee benefit plans,96998662,96998662
FY 2022-23,313,Statistics Canada,S,Spending of proceeds from the disposal of surplus Crown assets,16766,16766
FY 2022-23,315,Telefilm Canada,1,Payments to Crown Corps,311108479,171050470
FY 2022-23,326,Treasury Board Secretariat,1,Operating/Program,390120429,362302218
FY 2022-23,326,Treasury Board Secretariat,10,Treasury Board Central,132192163,0
FY 2022-23,326,Treasury Board Secretariat,15,Treasury Board Central,0,0
FY 2022-23,326,Treasury Board Secretariat,20,Treasury Board Central,3771828492,3759894377
FY 2022-23,326,Treasury Board Secretariat,25,Treasury Board Central,2969480,0
FY 2022-23,326,Treasury Board Secretariat,30,Treasury Board Central,469419058,0
FY 2022-23,326,Treasury Board Secretariat,35,Treasury Board Central,2865841,0
FY 2022-23,326,Treasury Board Secretariat,5,Treasury Board Central,691459102,0
FY 2022-23,326,Treasury Board Secretariat,S,Contributions to employee benefit plans,39900575,39900575
FY 2022-23,326,Treasury Board Secretariat,S,Payments under the Public Service Pension Adjustment Act,1430,1430
FY 2022-23,326,Treasury Board Secretariat,S,Salary and Motor Car Allowance,92400,92400
