"fy_ef","organization","estimates_document","statutory_item","authorities"
"FY 2022-23","Royal Canadian Mounted Police","Supplementary Estimates C","Contributions to employee benefit plans",1802549
"FY 2022-23","Royal Canadian Mounted Police","Supplementary Estimates C","Pensions and other employee benefits - Members of the Force",11540159
"FY 2022-23","Social Sciences and Humanities Research Council","Supplementary Estimates C","Contributions to employee benefit plans",172241
"FY 2022-23","Statistics Canada","Supplementary Estimates C","Contributions to employee benefit plans",614739
"FY 2022-23","Treasury Board Secretariat","Supplementary Estimates C","Contributions to employee benefit plans",331415
"FY 2022-23","Veterans Review and Appeal Board","Supplementary Estimates C","Contributions to employee benefit plans",448338
"FY 2023-24","Administrative Tribunals Support Service of Canada","Main Estimates","Contributions to employee benefit plans",12401922
"FY 2023-24","Atlantic Canada Opportunities Agency","Main Estimates","Salary and Motor Car Allowance",2000
"FY 2023-24","Atlantic Canada Opportunities Agency","Main Estimates","Contributions to employee benefit plans",8967542
"FY 2023-24","Canada Border Services Agency","Main Estimates","Contributions to employee benefit plans",227731646
"FY 2023-24","Canada Mortgage and Housing Corporation","Main Estimates","Payment for a one-time rental housing benefit and the administration and enforcement of the Rental Housing Benefit Act",46100000
"FY 2023-24","Canada Revenue Agency","Main Estimates","Distribution of fuel charges (to provinces and territories) under sections 165 of the Greenhouse Gas Pollution Pricing Act",49000000
"FY 2023-24","Canada Revenue Agency","Main Estimates","Distribution of fuel charges (Canada Carbon Rebate) under section 165 of the Greenhouse Gas Pollution Pricing Act and section 122.8 of the Income Tax Act",8999000000
"FY 2023-24","Canada Revenue Agency","Main Estimates","Children's special allowance payments",368000000
"FY 2023-24","Canada Revenue Agency","Main Estimates","Contributions to employee benefit plans",585812975
"FY 2023-24","Canada Revenue Agency","Main Estimates","Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act",357678813
"FY 2023-24","Canada Revenue Agency","Main Estimates","Salary and Motor Car Allowance",94700
"FY 2023-24","Canada School of Public Service","Main Estimates","Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act",6723332
"FY 2023-24","Canada School of Public Service","Main Estimates","Contributions to employee benefit plans",9188434
"FY 2023-24","Canadian Accessibility Standards Development Organization","Main Estimates","Contributions to employee benefit plans",823871
"FY 2023-24","Canadian Centre for Occupational Health and Safety","Main Estimates","Spending of Revenues pursuant to Section 6(1)(g) of the Canadian Centre for Occupational Health and Safety Act",4500000
"FY 2023-24","Canadian Centre for Occupational Health and Safety","Main Estimates","Contributions to employee benefit plans",689635
"FY 2023-24","Canadian Energy Regulator","Main Estimates","Contributions to employee benefit plans",11412951
"FY 2023-24","Canadian Food Inspection Agency","Main Estimates","Spending of Revenues pursuant to Section 30 of the Canadian Food Inspection Agency Act",53000000
"FY 2023-24","Canadian Food Inspection Agency","Main Estimates","Contributions to employee benefit plans",85219228
"FY 2023-24","Canadian Food Inspection Agency","Main Estimates","Compensation payments in accordance with requirements established by Regulations under the Health of Animals Act and the Plant Protection Act, and authorized pursuant to the Canadian Food Inspection Agency Act",12500000
"FY 2023-24","Canadian Grain Commission","Main Estimates","Contributions to employee benefit plans",731260
"FY 2023-24","Canadian Grain Commission","Main Estimates","Canadian Grain Commission Revolving Fund",2624231
"FY 2023-24","Canadian High Arctic Research Station","Main Estimates","Spending of revenue pursuant to section 6(2) of the Canadian High Arctic Research Station Act",732099
"FY 2023-24","Canadian High Arctic Research Station","Main Estimates","Contributions to employee benefit plans",1781935
"FY 2023-24","Canadian Human Rights Commission","Main Estimates","Contributions to employee benefit plans",4232748
"FY 2023-24","Canadian Institutes of Health Research","Main Estimates","Contributions to employee benefit plans",8865704
"FY 2023-24","Canadian Intergovernmental Conference Secretariat","Main Estimates","Contributions to employee benefit plans",452447
"FY 2023-24","Canadian Northern Economic Development Agency","Main Estimates","Contributions to employee benefit plans",2175385
"FY 2023-24","Canadian Nuclear Safety Commission","Main Estimates","Spending of the revenues pursuant to section 21(3) of the Nuclear Safety and Control Act",101056223
"FY 2023-24","Canadian Nuclear Safety Commission","Main Estimates","Contributions to employee benefit plans",5545411
"FY 2023-24","Canadian Radio-television and Telecommunications Commission","Main Estimates","Contributions to employee benefit plans",9933271
"FY 2023-24","Canadian Security Intelligence Service","Main Estimates","Contributions to employee benefit plans",58483951
"FY 2023-24","Canadian Space Agency","Main Estimates","Contributions to employee benefit plans",12160460
"FY 2023-24","Canadian Transportation Accident Investigation and Safety Board","Main Estimates","Contributions to employee benefit plans",3913678
"FY 2023-24","Canadian Transportation Agency","Main Estimates","Contributions to employee benefit plans",3630850
"FY 2023-24","Civilian Review and Complaints Commission for the Royal Canadian Mounted Police","Main Estimates","Contributions to employee benefit plans",1573860
"FY 2023-24","Communications Security Establishment","Main Estimates","Contributions to employee benefit plans",59150278
"FY 2023-24","Copyright Board","Main Estimates","Contributions to employee benefit plans",433636
"FY 2023-24","Correctional Service of Canada","Main Estimates","CORCAN Revolving Fund",-1835604
"FY 2023-24","Correctional Service of Canada","Main Estimates","Contributions to employee benefit plans",263268236
"FY 2023-24","Courts Administration Service","Main Estimates","Contributions to employee benefit plans",8783938
"FY 2023-24","Department for Women and Gender Equality","Main Estimates","Salary and Motor Car Allowance",94700
"FY 2023-24","Department for Women and Gender Equality","Main Estimates","Contributions to employee benefit plans",6260151
"FY 2023-24","Department of Agriculture and Agri-Food","Main Estimates","Grant and Contribution Payments for the AgriInvest Program",132252000
"FY 2023-24","Department of Agriculture and Agri-Food","Main Estimates","Canadian Pari-Mutuel Agency Revolving Fund",2018122
"FY 2023-24","Department of Agriculture and Agri-Food","Main Estimates","Contributions to employee benefit plans",58805665
"FY 2023-24","Department of Agriculture and Agri-Food","Main Estimates","Salary and Motor Car Allowance",94700
"FY 2023-24","Department of Agriculture and Agri-Food","Main Estimates","Loan guarantees under the Canadian Agricultural Loans Act",13111013
"FY 2023-24","Department of Agriculture and Agri-Food","Main Estimates","Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)",113300000
"FY 2023-24","Department of Agriculture and Agri-Food","Main Estimates","Contribution payments for the AgriInsurance program",243448000
"FY 2023-24","Department of Agriculture and Agri-Food","Main Estimates","Grant and Contribution Payments for the AgriStability Program",255310380
"FY 2023-24","Department of Agriculture and Agri-Food","Main Estimates","Grants to agencies established under the Farm Products Agencies Act",100000
"FY 2023-24","Department of Canadian Heritage","Main Estimates","Contributions to employee benefit plans",27119694
"FY 2023-24","Department of Canadian Heritage","Main Estimates","Salary and Motor Car Allowance",189400
"FY 2023-24","Department of Canadian Heritage","Main Estimates","Supplementary retirement benefits - Former Lieutenant Governors",182000
"FY 2023-24","Department of Canadian Heritage","Main Estimates","Payments under the Lieutenant Governors Superannuation Act",637000
"FY 2023-24","Department of Canadian Heritage","Main Estimates","Salaries of the Lieutenant Governors",1196000
"FY 2023-24","Department of Citizenship and Immigration","Main Estimates","Passport Canada Revolving Fund (Revolving Funds Act)",6582537
"FY 2023-24","Department of Citizenship and Immigration","Main Estimates","Contributions to employee benefit plans",128325471
"FY 2023-24","Department of Citizenship and Immigration","Main Estimates","Salary and Motor Car Allowance",94700
"FY 2023-24","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Grants to Aboriginal organizations designated to receive claim settlement payments pursuant to Comprehensive Land Settlement Acts",4125988
"FY 2023-24","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Contributions to employee benefit plans",29534942
"FY 2023-24","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Payments to comprehensive claim beneficiaries in compensation for resource royalties",1865718
"FY 2023-24","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Grassy Narrows and Islington Bands Mercury Disability Board",15000
"FY 2023-24","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Salary and Motor Car Allowance",189400
"FY 2023-24","Department of Employment and Social Development","Main Estimates","Payments for the Canada Worker Lockdown Benefit pursuant to the Canada Worker Lockdown Benefit Act",15869252
"FY 2023-24","Department of Employment and Social Development","Main Estimates","Payments pursuant to the Canada Recovery Benefits Act",94187964
"FY 2023-24","Department of Employment and Social Development","Main Estimates","Spending of Revenues pursuant to subsection 5.2(2) of the Department of Employment and Social Development Act",388439850
"FY 2023-24","Department of Employment and Social Development","Main Estimates","Payments related to the direct financing arrangement under the Apprentice Loans Act",3811610
"FY 2023-24","Department of Employment and Social Development","Main Estimates","Wage Earner Protection Program payments to eligible applicants owed wages and vacation pay, severance pay and termination pay from employers who are either bankrupt or in receivership as well as payments to trustees and receivers who will provide the necessary information to determine eligibility",49250000
"FY 2023-24","Department of Employment and Social Development","Main Estimates","Canada Disability Savings Grant payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals disabilities",631444065
"FY 2023-24","Department of Employment and Social Development","Main Estimates","Canada Disability Savings Bond payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals with disabilities",265962674
"FY 2023-24","Department of Employment and Social Development","Main Estimates","Contributions to employee benefit plans",352942081
"FY 2023-24","Department of Employment and Social Development","Main Estimates","Canada Education Savings grant payments to Registered Educations Savings Plans (RESPs) trustees on behalf of RESP beneficiaries to encourage Canadians to save for post-secondary education for their children",1040000000
"FY 2023-24","Department of Employment and Social Development","Main Estimates","Canada Learning Bond payments to Registered Education Savings Plan trustees on behalf of Registered Education Savings Plan beneficiaries to support access to post-secondary education for children from low-income families",180000000
"FY 2023-24","Department of Employment and Social Development","Main Estimates","Payments of compensation respecting government employees (Government Employees Compensation Act) and merchant seamen (Merchant Seamen Compensation Act)",31444511
"FY 2023-24","Department of Employment and Social Development","Main Estimates","Civil Service Insurance actuarial liability adjustments",145000
"FY 2023-24","Department of Employment and Social Development","Main Estimates","Universal Child Care Benefit (Universal Child Care Benefit Act)",900000
"FY 2023-24","Department of Employment and Social Development","Main Estimates","Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act",1937859143
"FY 2023-24","Department of Employment and Social Development","Main Estimates","The provision of funds for interest and other payments to lending institutions and liabilities under the Canada Student Financial Assistance Act",347209
"FY 2023-24","Department of Employment and Social Development","Main Estimates","The provision of funds for liabilities including liabilities in the form of guaranteed loans under the Canada Student Loans Act",-1161307
"FY 2023-24","Department of Employment and Social Development","Main Estimates","Payments related to the direct financing arrangement under the Canada Student Financial Assistance Act",1443970740
"FY 2023-24","Department of Employment and Social Development","Main Estimates","Allowance payments (Old Age Security Act)",646000000
"FY 2023-24","Department of Employment and Social Development","Main Estimates","Guaranteed Income Supplement Payments (Old Age Security Act)",17779000000
"FY 2023-24","Department of Employment and Social Development","Main Estimates","Old Age Security payments (Old Age Security Act)",58126000000
"FY 2023-24","Department of Employment and Social Development","Main Estimates","Salary and Motor Car Allowance",286100
"FY 2023-24","Department of Finance","Main Estimates","Payment to the Canada Infrastructure Bank",2921312000
"FY 2023-24","Department of Finance","Main Estimates","Other Interest Costs",4838000000
"FY 2023-24","Department of Finance","Main Estimates","Interest on Unmatured Debt",32939000000
"FY 2023-24","Department of Finance","Main Estimates","Debt payments on behalf of poor countries to International Organizations pursuant to section 18(1) of the Economic Recovery Act",51823068
"FY 2023-24","Department of Finance","Main Estimates","Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act)",-5902725000
"FY 2023-24","Department of Finance","Main Estimates","Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",-1302720510
"FY 2023-24","Department of Finance","Main Estimates","Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act)",16416302000
"FY 2023-24","Department of Finance","Main Estimates","Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act)",49420572000
"FY 2023-24","Department of Finance","Main Estimates","Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act)",23963000000
"FY 2023-24","Department of Finance","Main Estimates","Statutory Subsidies (Constitution Acts, 1867-1982, and other statutory authorities)",42639341
"FY 2023-24","Department of Finance","Main Estimates","Purchase of Domestic Coinage",84000000
"FY 2023-24","Department of Finance","Main Estimates","Contributions to employee benefit plans",15947561
"FY 2023-24","Department of Finance","Main Estimates","Payments to International Development Association",486916000
"FY 2023-24","Department of Finance","Main Estimates","Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangements Act)",4834417818
"FY 2023-24","Department of Finance","Main Estimates","Salary and Motor Car Allowance",96700
"FY 2023-24","Department of Fisheries and Oceans","Main Estimates","Contributions to employee benefit plans",186248386
"FY 2023-24","Department of Fisheries and Oceans","Main Estimates","Salary and Motor Car Allowance",94700
"FY 2023-24","Department of Foreign Affairs, Trade and Development","Main Estimates","Payments to International Financial Institutions - Direct payments",241074568
"FY 2023-24","Department of Foreign Affairs, Trade and Development","Main Estimates","Payments under the Diplomatic Service (Special) Superannuation Act",900000
"FY 2023-24","Department of Foreign Affairs, Trade and Development","Main Estimates","Contributions to employee benefit plans",126898982
"FY 2023-24","Department of Foreign Affairs, Trade and Development","Main Estimates","Salary and Motor Car Allowance",284100
"FY 2023-24","Department of Health","Main Estimates","Spending of revenues from other departments for which the Minister is responsible, pursuant to subsection 4.2(4) of the Department of Health Act",51462891
"FY 2023-24","Department of Health","Main Estimates","Contributions to employee benefit plans",129543408
"FY 2023-24","Department of Health","Main Estimates","Salary and Motor Car Allowance",189400
"FY 2023-24","Department of Housing, Infrastructure and Communities","Main Estimates","Salary and Motor Car Allowance",189400
"FY 2023-24","Department of Housing, Infrastructure and Communities","Main Estimates","Contributions related to the Canada Community-Building Fund (Keeping Canada's Economy and Jobs Growing Act)",2367617331
"FY 2023-24","Department of Housing, Infrastructure and Communities","Main Estimates","Contributions to employee benefit plans",18770059
"FY 2023-24","Department of Indigenous Services","Main Estimates","Indian Annuities Treaty payments",2100000
"FY 2023-24","Department of Indigenous Services","Main Estimates","Contributions in connection with First Nations infrastructure",32382668
"FY 2023-24","Department of Indigenous Services","Main Estimates","Salary and Motor Car Allowance",94700
"FY 2023-24","Department of Indigenous Services","Main Estimates","Contributions to employee benefit plans",111685218
"FY 2023-24","Department of Indigenous Services","Main Estimates","Liabilities in respect of loan guarantees made to Indians for Housing and Economic Development",2000000
"FY 2023-24","Department of Industry","Main Estimates","CIFAR - Pan Canadian Artificial Intelligence",15312999
"FY 2023-24","Department of Industry","Main Estimates","Contributions to employee benefit plans",77101480
"FY 2023-24","Department of Industry","Main Estimates","Liabilities under the Canada Small Business Financing Act",79427567
"FY 2023-24","Department of Industry","Main Estimates","Canadian Intellectual Property Office Revolving Fund",11383045
"FY 2023-24","Department of Industry","Main Estimates","Salary and Motor Car Allowance",96700
"FY 2023-24","Department of Justice","Main Estimates","Contributions to employee benefit plans",98947546
"FY 2023-24","Department of Justice","Main Estimates","Salary and Motor Car Allowance",94700
"FY 2023-24","Department of National Defence","Main Estimates","Contributions to employee benefit plans",330464584
"FY 2023-24","Department of National Defence","Main Estimates","Contributions to employee benefit plans (Members of the Military)",1402013774
"FY 2023-24","Department of National Defence","Main Estimates","Payments under Parts I-IV of the Defence Services Pension Continuation Act",120000
"FY 2023-24","Department of National Defence","Main Estimates","Payments under the Supplementary Retirement Benefits Act",550000
"FY 2023-24","Department of National Defence","Main Estimates","Salary and Motor Car Allowance",94700
"FY 2023-24","Department of Natural Resources","Main Estimates","Payments to the Newfoundland Offshore Petroleum Resource Revenue Fund",1699445814
"FY 2023-24","Department of Natural Resources","Main Estimates","Contribution to the Canada/Nova Scotia Offshore Petroleum Board",2382500
"FY 2023-24","Department of Natural Resources","Main Estimates","Contribution to the Canada/Newfoundland Offshore Petroleum Board",11805000
"FY 2023-24","Department of Natural Resources","Main Estimates","Contributions to employee benefit plans",68918420
"FY 2023-24","Department of Natural Resources","Main Estimates","Salary and Motor Car Allowance",94700
"FY 2023-24","Department of Public Safety and Emergency Preparedness","Main Estimates","Contributions to employee benefit plans",20444116
"FY 2023-24","Department of Public Safety and Emergency Preparedness","Main Estimates","Salary and Motor Car Allowance",94700
"FY 2023-24","Department of Public Works and Government Services","Main Estimates","Real Property Services Revolving Fund",3500000
"FY 2023-24","Department of Public Works and Government Services","Main Estimates","Translation Bureau Revolving Fund",8068695
"FY 2023-24","Department of Public Works and Government Services","Main Estimates","Optional Services Revolving Fund",-185084
"FY 2023-24","Department of Public Works and Government Services","Main Estimates","Contributions to employee benefit plans",130405815
"FY 2023-24","Department of Public Works and Government Services","Main Estimates","Salary and Motor Car Allowance",94700
"FY 2023-24","Department of Transport","Main Estimates","Northumberland Strait Crossing Subsidy Payment under the Northumberland Strait Crossing Act",75617690
"FY 2023-24","Department of Transport","Main Estimates","Payments in respect of St. Lawrence Seaway agreements under the Canada Marine Act",74623000
"FY 2023-24","Department of Transport","Main Estimates","Contributions to employee benefit plans",95178374
"FY 2023-24","Department of Transport","Main Estimates","Payments to the Canadian National Railway Company in respect of the termination of the collection of tolls on the Victoria Bridge, Montreal and for rehabilitation work on the portion of the bridge",3300000
"FY 2023-24","Department of Transport","Main Estimates","Salary and Motor Car Allowance",94700
"FY 2023-24","Department of Veterans Affairs","Main Estimates","Returned Soldiers Insurance Actuarial Liability Adjustment",10000
"FY 2023-24","Department of Veterans Affairs","Main Estimates","Contributions to employee benefit plans",46212087
"FY 2023-24","Department of Veterans Affairs","Main Estimates","Veterans Insurance Actuarial Liability Adjustment",175000
"FY 2023-24","Department of Veterans Affairs","Main Estimates","Re-establishment credits under section 8 of the War Service Grants Act",12000
"FY 2023-24","Department of Veterans Affairs","Main Estimates","Salary and Motor Car Allowance",94700
"FY 2023-24","Department of Western Economic Diversification","Main Estimates","Contributions to employee benefit plans",4625187
"FY 2023-24","Department of the Environment","Main Estimates","Contributions to employee benefit plans",111907568
"FY 2023-24","Department of the Environment","Main Estimates","Salary and Motor Car Allowance",94700
"FY 2023-24","Economic Development Agency of Canada for the Regions of Quebec","Main Estimates","Contributions to employee benefit plans",5733781
"FY 2023-24","Federal Economic Development Agency for Northern Ontario","Main Estimates","Contributions to employee benefit plans",2032194
"FY 2023-24","Federal Economic Development Agency for Southern Ontario","Main Estimates","Salary and Motor Car Allowance",2000
"FY 2023-24","Federal Economic Development Agency for Southern Ontario","Main Estimates","Contributions to employee benefit plans",4149495
"FY 2023-24","Financial Transactions and Reports Analysis Centre of Canada","Main Estimates","Contributions to employee benefit plans",8398602
"FY 2023-24","House of Commons","Main Estimates","Members of the House of Commons – Contributions to the Members of Parliament Retiring Allowances account and the Members of Parliament Retirement Compensation Arrangements account, under the Members of Parliament Retiring Allowances Act",20200000
"FY 2023-24","House of Commons","Main Estimates","Members of the House of Commons – Salaries and allowances of Officers and Members of the House of Commons, under the Parliament of Canada Act",105776343
"FY 2023-24","House of Commons","Main Estimates","Contributions to employee benefit plans",47838191
"FY 2023-24","Immigration and Refugee Board","Main Estimates","Contributions to employee benefit plans",31617341
"FY 2023-24","Impact Assessment Agency of Canada","Main Estimates","Contributions to employee benefit plans",7572008
"FY 2023-24","International Joint Commission (Canadian Section)","Main Estimates","Contributions to employee benefit plans",612212
"FY 2023-24","Law Commission of Canada","Main Estimates","Contributions to employee benefit plans",187042
"FY 2023-24","Leaders' Debates Commission","Main Estimates","Contributions to employee benefit plans",90389
"FY 2023-24","Library and Archives of Canada","Main Estimates","Contributions to employee benefit plans",15511154
"FY 2023-24","Library of Parliament","Main Estimates","Contributions to employee benefit plans",6361530
"FY 2023-24","Military Grievances External Review Committee","Main Estimates","Contributions to employee benefit plans",654273
"FY 2023-24","Military Police Complaints Commission","Main Estimates","Contributions to employee benefit plans",447144
"FY 2023-24","National Research Council of Canada","Main Estimates","Contributions to employee benefit plans",71579186
"FY 2023-24","National Research Council of Canada","Main Estimates","Spending of revenues pursuant to paragraph 5(1)(e) of the National Research Council Act",182000000
"FY 2023-24","National Security and Intelligence Review Agency Secretariat","Main Estimates","Contributions to employee benefit plans",1755229
"FY 2023-24","Natural Sciences and Engineering Research Council","Main Estimates","Spending of Revenues pursuant to subsection 4.2 of the Natural Sciences and Engineering Research Council Act",203223
"FY 2023-24","Natural Sciences and Engineering Research Council","Main Estimates","Contributions to employee benefit plans",6433554
"FY 2023-24","Northern Pipeline Agency","Main Estimates","Contributions to employee benefit plans",32680
"FY 2023-24","Office of the Auditor General","Main Estimates","Contributions to employee benefit plans",13418150
"FY 2023-24","Office of the Chief Electoral Officer","Main Estimates","Expenses under Electoral Boundary Readjustment Act",954590
"FY 2023-24","Office of the Chief Electoral Officer","Main Estimates","Contributions to employee benefit plans",13668683
"FY 2023-24","Office of the Chief Electoral Officer","Main Estimates","Electoral expenditures",140136372
"FY 2023-24","Office of the Chief Electoral Officer","Main Estimates","Salary of the Chief Electoral Officer",372200
"FY 2023-24","Office of the Commissioner for Federal Judicial Affairs","Main Estimates","Contributions to employee benefit plans",1063473
"FY 2023-24","Office of the Commissioner for Federal Judicial Affairs","Main Estimates","Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office",719315411
"FY 2023-24","Office of the Commissioner of Lobbying","Main Estimates","Contributions to employee benefit plans",511532
"FY 2023-24","Office of the Commissioner of Official Languages","Main Estimates","Contributions to employee benefit plans",2371184
"FY 2023-24","Office of the Conflict of Interest and Ethics Commissioner","Main Estimates","Contributions to employee benefit plans",911620
"FY 2023-24","Office of the Correctional Investigator of Canada","Main Estimates","Contributions to employee benefit plans",617131
"FY 2023-24","Office of the Director of Public Prosecutions","Main Estimates","Contributions to employee benefit plans",22053315
"FY 2023-24","Office of the Governor General's Secretary","Main Estimates","Contributions to employee benefit plans",2257553
"FY 2023-24","Office of the Governor General's Secretary","Main Estimates","Annuities payable under the Governor General's Act",969785
"FY 2023-24","Office of the Governor General's Secretary","Main Estimates","Salary of the Governor General",350355
"FY 2023-24","Office of the Intelligence Commissioner","Main Estimates","Contributions to employee benefit plans",171353
"FY 2023-24","Office of the Parliamentary Budget Officer","Main Estimates","Contributions to employee benefit plans",790563
"FY 2023-24","Office of the Public Sector Integrity Commissioner","Main Estimates","Contributions to employee benefit plans",569592
"FY 2023-24","Office of the Senate Ethics Officer","Main Estimates","Contributions to employee benefit plans",139225
"FY 2023-24","Office of the Superintendent of Financial Institutions","Main Estimates","Spending of revenues pursuant to subsection 17(2) of the Office of the Superintendent of Financial Institutions Act",293481635
"FY 2023-24","Offices of the Information and Privacy Commissioners of Canada","Main Estimates","Contributions to employee benefit plans",5031029
"FY 2023-24","Pacific Economic Development Agency of Canada","Main Estimates","Contributions to employee benefit plans",2724179
"FY 2023-24","Parks Canada Agency","Main Estimates","Contributions to employee benefit plans",63249663
"FY 2023-24","Parks Canada Agency","Main Estimates","Expenditures equivalent to revenues resulting from the conduct of operations pursuant to section 20 of the Parks Canada Agency Act",155000000
"FY 2023-24","Parliamentary Protective Service","Main Estimates","Contributions to employee benefit plans",11729840
"FY 2023-24","Parole Board of Canada","Main Estimates","Contributions to employee benefit plans",7408510
"FY 2023-24","Patented Medicine Prices Review Board","Main Estimates","Contributions to employee benefit plans",1353481
"FY 2023-24","Privy Council Office","Main Estimates","Contributions to employee benefit plans",21906104
"FY 2023-24","Privy Council Office","Main Estimates","Salary and Motor Car Allowance",383600
"FY 2023-24","Public Health Agency of Canada","Main Estimates","Spending of revenues from other departments for which the Minister is responsible, pursuant to subsection 4.2(4) of the Department of Health Act",13412742
"FY 2023-24","Public Health Agency of Canada","Main Estimates","Contributions to employee benefit plans",45772699
"FY 2023-24","Public Service Commission","Main Estimates","Contributions to employee benefit plans",12255890
"FY 2023-24","Registrar of the Supreme Court of Canada","Main Estimates","Contributions to employee benefit plans",3583106
"FY 2023-24","Registrar of the Supreme Court of Canada","Main Estimates","Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office",9945548
"FY 2023-24","Royal Canadian Mounted Police","Main Estimates","Contributions to employee benefit plans",83532881
"FY 2023-24","Royal Canadian Mounted Police","Main Estimates","Pensions and other employee benefits - Members of the Force",482695485
"FY 2023-24","Royal Canadian Mounted Police","Main Estimates","Pensions under the Royal Canadian Mounted Police Pension Continuation Act",5000000
"FY 2023-24","Royal Canadian Mounted Police External Review Committee","Main Estimates","Contributions to employee benefit plans",651521
"FY 2023-24","Secretariat of the National Security and Intelligence Committee of Parliamentarians","Main Estimates","Contributions to employee benefit plans",244482
"FY 2023-24","Senate","Main Estimates","Contributions to employee benefit plans",9771775
"FY 2023-24","Senate","Main Estimates","Officers and Members of the Senate - Salaries, allowances and other payments to the Speaker of the Senate, Members and other officers of the Senate under the Parliament of Canada Act; contributions to the Members of Parliament Retiring Allowances Account and Members of Parliament Retirement Compensation Arrangements Account",28321984
"FY 2023-24","Shared Services Canada","Main Estimates","Contributions to employee benefit plans",123179982
"FY 2023-24","Social Sciences and Humanities Research Council","Main Estimates","Spending of Revenues pursuant to subsection 4.2 of the Social Sciences and Humanities Research Council Act",107962
"FY 2023-24","Social Sciences and Humanities Research Council","Main Estimates","Contributions to employee benefit plans",4969029
"FY 2023-24","Statistics Canada","Main Estimates","Contributions to employee benefit plans",74895542
"FY 2023-24","The National Battlefields Commission","Main Estimates","Contributions to employee benefit plans",745230
"FY 2023-24","The National Battlefields Commission","Main Estimates","Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act",2000000
"FY 2023-24","Treasury Board Secretariat","Main Estimates","Contributions to employee benefit plans",34656544
"FY 2023-24","Treasury Board Secretariat","Main Estimates","Salary and Motor Car Allowance",94700
"FY 2023-24","Veterans Review and Appeal Board","Main Estimates","Contributions to employee benefit plans",1932525
"FY 2023-24","Atlantic Canada Opportunities Agency","Supplementary Estimates A","Contributions to employee benefit plans",473610
"FY 2023-24","Canadian Food Inspection Agency","Supplementary Estimates A","Contributions to employee benefit plans",2786138
"FY 2023-24","Canadian High Arctic Research Station","Supplementary Estimates A","Contributions to employee benefit plans",68616
"FY 2023-24","Canadian Transportation Agency","Supplementary Estimates A","Contributions to employee benefit plans",3906792
"FY 2023-24","Department of Agriculture and Agri-Food","Supplementary Estimates A","Contribution payments for the Livestock Price Insurance program (Farm Income Protection Act)",4000000
"FY 2023-24","Department of Agriculture and Agri-Food","Supplementary Estimates A","Contribution payments for the Agricultural Disaster Relief program and AgriRecovery",118513335
"FY 2023-24","Department of Agriculture and Agri-Food","Supplementary Estimates A","Grant and Contribution Payments for the AgriInvest Program",8922658
"FY 2023-24","Department of Agriculture and Agri-Food","Supplementary Estimates A","Contributions to employee benefit plans",23679139
"FY 2023-24","Department of Agriculture and Agri-Food","Supplementary Estimates A","Contribution payments for the AgriInsurance program",790335000
"FY 2023-24","Department of Agriculture and Agri-Food","Supplementary Estimates A","Grant and Contribution Payments for the AgriStability Program",136411138
"FY 2023-24","Department of Canadian Heritage","Supplementary Estimates A","Contributions to employee benefit plans",1216223
"FY 2023-24","Department of Crown-Indigenous Relations and Northern Affairs","Supplementary Estimates A","Contributions to employee benefit plans",878307
"FY 2023-24","Department of Employment and Social Development","Supplementary Estimates A","Contributions to employee benefit plans",1190039
"FY 2023-24","Department of Employment and Social Development","Supplementary Estimates A","Universal Child Care Benefit (Universal Child Care Benefit Act)",1100000
"FY 2023-24","Department of Employment and Social Development","Supplementary Estimates A","Allowance payments (Old Age Security Act)",3000000
"FY 2023-24","Department of Employment and Social Development","Supplementary Estimates A","Guaranteed Income Supplement Payments (Old Age Security Act)",-73000000
"FY 2023-24","Department of Employment and Social Development","Supplementary Estimates A","Old Age Security payments (Old Age Security Act)",-568000000
"FY 2023-24","Department of Finance","Supplementary Estimates A","Other Interest Costs",36000000
"FY 2023-24","Department of Finance","Supplementary Estimates A","Interest on Unmatured Debt",737000000
